Product Name,Status,Local Request Timestamp,Begin Trip Local Timestamp,Local Dropoff Timestamp,Trip Distance (miles),Duration (Seconds),Local Base Fare,Local Original Fare,Local Cancellation Fee,Currency Code
UberX,completed,2025-02-01T01:36:36.000Z,2025-02-01T01:44:31.000Z,2025-02-01T02:00:47.000Z,12.110579224042564,976,0.1,32.51,0.0,USD
UberX,completed,2025-02-01T01:21:35.000Z,2025-02-01T01:27:02.000Z,2025-02-01T01:39:42.000Z,6.095712952508593,760,0.1,22.86,0.0,USD
UberX,completed,2025-02-01T01:06:06.000Z,2025-02-01T01:13:02.000Z,2025-02-01T01:18:12.000Z,2.5196898538567827,310,0.1,10.9,0.0,USD
UberX,completed,2025-02-01T00:45:08.000Z,2025-02-01T00:49:52.000Z,2025-02-01T00:57:43.000Z,3.804082879147459,471,0.1,17.53,0.0,USD
UberX,completed,2025-02-01T00:29:27.000Z,2025-02-01T00:34:46.000Z,2025-02-01T00:42:08.000Z,4.520148214855662,442,0.1,18.51,0.0,USD
UberX,completed,2025-01-31T23:59:00.000Z,2025-02-01T00:02:51.000Z,2025-02-01T00:27:35.000Z,20.849237059487802,1484,0.1,43.7,0.0,USD
Mid-Tier,completed,2025-01-31T23:27:46.000Z,2025-01-31T23:31:44.000Z,2025-01-31T23:50:53.000Z,10.16713156688112,1149,0.11,39.12,0.0,USD
UberX,completed,2025-01-31T23:13:50.000Z,2025-01-31T23:17:04.000Z,2025-01-31T23:27:47.000Z,2.9185225178721637,643,0.1,11.48,0.0,USD
Mid-Tier,completed,2025-01-31T22:56:01.000Z,2025-01-31T23:01:05.000Z,2025-01-31T23:15:37.000Z,8.552794335397753,872,0.11,39.71,0.0,USD
UberX,completed,2025-01-29T06:15:00.000Z,2025-01-29T06:05:08.000Z,2025-01-29T06:42:18.000Z,8.859211508432768,2230,0.1,45.01,0.0,USD
UberX,completed,2025-01-29T05:25:43.000Z,2025-01-29T05:34:24.000Z,2025-01-29T05:49:59.000Z,12.3000976715507,935,0.1,27.43,0.0,USD
UberX,completed,2025-01-29T02:31:02.000Z,2025-01-29T02:39:09.000Z,2025-01-29T02:46:11.000Z,2.829998225580035,422,0.1,9.66,0.0,USD
UberX,completed,2025-01-28T23:15:07.000Z,2025-01-28T23:18:22.000Z,2025-01-28T23:43:39.000Z,24.72786604400441,1517,0.1,48.53,0.0,USD
UberX,completed,2025-01-28T22:25:27.000Z,2025-01-28T22:31:31.000Z,2025-01-28T23:11:16.000Z,34.064226191432724,2385,0.1,73.55,0.0,USD
UberX,completed,2025-01-28T21:53:59.000Z,2025-01-28T21:58:20.000Z,2025-01-28T22:06:28.000Z,2.168375972545799,488,0.1,10.75,0.0,USD
UberX,completed,2025-01-28T21:33:29.000Z,2025-01-28T21:36:52.000Z,2025-01-28T21:51:21.000Z,6.727633808673068,869,0.1,24.74,0.0,USD
Green,completed,2025-01-28T21:19:35.000Z,2025-01-28T21:25:44.000Z,2025-01-28T21:28:45.000Z,1.4620124510844303,181,0.1,8.94,0.0,USD
RIDESHARE,completed,2025-01-28T21:02:32.000Z,2025-01-28T21:04:11.000Z,2025-01-28T21:14:00.000Z,4.885948904888323,589,0.1,18.3,0.0,USD
UberX,completed,2025-01-28T20:48:47.000Z,2025-01-28T20:55:31.000Z,2025-01-28T21:01:34.000Z,2.249735708577042,363,0.1,8.94,0.0,USD
UberX,completed,2025-01-28T20:18:20.000Z,2025-01-28T20:20:58.000Z,2025-01-28T20:37:52.000Z,14.428028260639131,1014,0.1,38.03,0.0,USD
UberX,completed,2025-01-28T19:45:49.000Z,2025-01-28T19:51:38.000Z,2025-01-28T20:13:47.000Z,18.512770518783913,1329,0.1,40.02,0.0,USD
